No Service,Tanggal Keluhan,Ket. Teknisi,Teknisi ,Deskripsi Pekerjaan (Maintanance),Divisi,Jenis pekerjaan,Lokasi,Foto Before,Tanggal Selesai,"Lead Time
(Hari)",Foto After
393,29/01/2025,Internal,Irawan,Penggantian camstater mesin yg A  DKASSET 1033,Produksi,Mesin,Gudang Cibeureum,,29/01/2025,0,
394,30/01/2025,Internal,Irawan,perbaikan mesin parting ,Produksi,Mesin,Head Office,,30/01/2025,0,
395,30/01/2025,Internal,Irawan,perpindahan ruang expedisi,Produksi,Mesin,Head Office,,30/01/2025,0,
396,30/01/2025,Internal,Irawan,"ismillah, perbaikan. Mesin tepung unit f",Produksi,Mesin,Gudang Cibeureum,,30/01/2025,0,
397,28/01/2025,Internal,Irawan,perbaikan gerbang ,Produksi,Mesin,Gudang Cibeureum,,30/01/2025,2,
398,31/01/2025,Internal,Iwan,perbaikan troli,Produksi,Infrastruktur,Head Office,,31/01/2025,0,
399,31/01/2025,Internal,Irawan,perbaikan timbangan ,Produksi,Infrastruktur,Head Office,,31/01/2025,0,
400,31/01/2025,Internal,Iyus,bawa barang dari kantor tsp ke ho ,Produksi,Infrastruktur,Tamansari persada,,31/01/2025,0,
401,01/02/2025,Internal,fahmi,pemasangan lampu di kantor kemitraan ,Kemitraan,Instalasi Listrik,Tamansari persada,,01/02/2025,0,
402,01/02/2025,Internal,Irawan,perbaikan mesin jahit tepung ,Produksi,Elektronik,Gudang Cibeureum,,01/02/2025,0,
405,02/02/2025,Internal,Iwan,perbaikan kanopi ,Humas & Service,Infrastruktur,Head Office,,02/02/2025,0,
403,02/02/2025,Internal,Iyus,perganti MCB,Humas & Service,Instalasi Listrik,Tamansari persada,,02/02/2025,0,
404,02/02/2025,Internal,Iyus,perbaikan intalasi listrik ,Humas & Service,Instalasi Listrik,Tamansari persada,,02/02/2025,0,
408,03/02/2025,Internal,Iwan,penutupan yang lubang agar tikut tidak masuk ,Produksi,Infrastruktur,Head Office,,03/02/2025,0,
409,03/02/2025,Internal,Iwan,pergantian lampu blaz,Produksi,Infrastruktur,Head Office,,03/02/2025,0,
410,03/02/2025,Internal,Iwan,pergantian 2 lampu PJU ,Produksi,Infrastruktur,Head Office,,03/02/2025,0,
411,03/02/2025,Internal,Iyus,perbaikan fingger print,Produksi,Elektronik,Gudang Cibeureum,,03/02/2025,0,
412,03/02/2025,Internal,Iyus,perbaikan bell ,Produksi,Elektronik,Gudang Cibeureum,,03/02/2025,0,
413,03/02/2025,Internal,Iyus,perbaikan bell ,Produksi,Elektronik,Gudang Cibeureum,,03/02/2025,0,
420,03/02/2025,Internal,Iyus,pemasangan spanduk di kantor  finace  BRP,Finance,Infrastruktur,Kantor Finance BRP,,04/02/2025,1,
406,03/02/2025,Internal,Iyus,pemanasan genset ,Produksi,Mesin,Gudang Cibeureum,,03/02/2025,0,
407,03/02/2025,Internal,Iyus,"Bismillah, perbaikan mesin tepung unit F trabel dari puli nya sudah aus/doll",Produksi,Mesin,Gudang Cibeureum,,03/02/2025,0,
423,04/02/2025,Internal,Irawan,pemasangan kipas angin produksi tepung ,Produksi,Elektronik,Gudang Cibeureum,,04/02/2025,0,
418,04/02/2025,Internal,Irawan,perbaikan pintu gerbang ciberum baru ',Produksi,Infrastruktur,gudang cibeureum 2,,04/02/2025,0,
416,04/02/2025,Internal,Irawan,pergantian lampu ,Produksi,Instalasi Listrik,Head Office,,04/02/2025,0,
417,04/02/2025,Internal,Irawan,Ganti fiting lampu an lampu yg 50 watt digudang baruu,Produksi,Instalasi Listrik,gudang cibeureum 2,,04/02/2025,0,
422,04/02/2025,Internal,Irawan,Pengantian camstater dimesin 100 klio yg G DKASSET 1031 Sebelum dan sesudah diganti,Produksi,Mesin,Gudang Cibeureum,,04/02/2025,0,
419,04/02/2025,Internal,Iwan,perbaikan dan pemasnagan pintu blasz,Produksi,Infrastruktur,Head Office,,04/02/2025,0,
414,04/02/2025,Internal,Iyus,perbaikan yang bocor  dikantor tsp ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,04/02/2025,0,
415,04/02/2025,Internal,Iyus,pemasangan spanduk di kantor tsp ruang  finace ,Humas & Service,Infrastruktur,Tamansari persada,,04/02/2025,0,
421,04/02/2025,Internal,Iyus,pemasangan ac,Finance,Perbaikan AC,Kantor Finance BRP,,04/02/2025,0,
424,05/02/2025,Internal,Irawan,perbaikan mesin ,Produksi,Mesin,Gudang Cibeureum,,05/02/2025,0,
425,05/02/2025,Internal,Irawan,perbaikan mesin ,Produksi,Mesin,Gudang Cibeureum,,05/02/2025,0,
427,05/02/2025,Internal,Iwan,pengukuran portal ,Produksi,Infrastruktur,Head Office,,05/02/2025,0,
425,05/02/2025,Internal,Iwan,perbaikan jalur kelistrikan panle ,Produksi,Instalasi Listrik,Head Office,,05/02/2025,0,
425,05/02/2025,Internal,Iwan,pemanasan genset ,Produksi,Mesin,Head Office,,05/02/2025,0,
430,06/02/2025,Internal,Irawan,pemasangan papan tulis 3,Produksi,Mesin,Head Office,,06/02/2025,0,
429,06/02/2025,Internal,Irawan,perbaikan ac,Produksi,Perbaikan AC,Head Office,,06/02/2025,0,
428,06/02/2025,Internal,Iwan,pemotongan rangka baja ringan ,Produksi,Infrastruktur,Gudang Cibeureum,,06/02/2025,0,
431,06/02/2025,Internal,Iyus,perbaikan saluran air ,Humas & Service,Infrastruktur,Tamansari persada,,06/02/2025,0,
432,06/02/2025,Internal,Iyus,perbaikan saluran air ,Humas & Service,Infrastruktur,Tamansari persada,,06/02/2025,0,
433,06/02/2025,Internal,Iyus,perbaikan saluran air ,Humas & Service,Infrastruktur,Tamansari persada,,06/02/2025,0,
434,06/02/2025,Internal,Iyus,perbaikan pembuangan ac ,Humas & Service,Perbaikan AC,Tamansari persada,,06/02/2025,0,
435,07/02/2025,Internal,Iwan,perbaikan mesin ,Produksi,Mesin,Head Office,,07/02/2025,0,
437,08/02/2025,Internal,Irawan,pemasangan partici,Produksi,Infrastruktur,Gudang Cibeureum,,08/02/2025,0,
439,08/02/2025,Internal,Iwan,pemasangan keramik ,Produksi,Infrastruktur,Gudang Cibeureum,,08/02/2025,0,
436,08/02/2025,Internal,Iyus,pengecekan area solokan ,Produksi,Infrastruktur,Kantor Finance BRP,,08/02/2025,0,
438,08/02/2025,Internal,Iyus,pengecekan air ,Produksi,Infrastruktur,Head Office,,08/02/2025,0,
440,09/02/2025,Internal,Irawan,perbaikan mesin tepung yg D DKASSET 1035,Produksi,Mesin,Gudang Cibeureum,,09/02/2025,0,
441,09/02/2025,Internal,Irawan,Pengelasan slot mesin H DKAsset 1407,Produksi,Mesin,Gudang Cibeureum,,09/02/2025,0,
442,09/02/2025,Internal,Irawan,Lanjut pengelasan dudukan mesin gierblok yg E DKSSET1,Produksi,Mesin,Gudang Cibeureum,,09/02/2025,0,
444,10/02/2025,Internal,Irawan,pemsangan kabel wifi,Produksi,Elektronik,Gudang Cibeureum,,10/02/2025,0,
445,10/02/2025,Internal,Irawan,Ganti baud yg patah seblm dan sesudah dimesin D  DKSSET 1035,Produksi,Mesin,Gudang Cibeureum,,10/02/2025,0,
443,10/02/2025,Internal,Iyus,pemebersihan ,Humas & Service,Infrastruktur,Tamansari persada,,10/02/2025,0,
446,10/02/2025,Internal,Iyus,pemsangan close dorr,Produksi,Infrastruktur,Head Office,,10/02/2025,0,
453,11/02/2025,Internal,Irawan,Perbaikann kursi yg patah dioffice cibereum,Produksi,Infrastruktur,Gudang Cibeureum,,11/02/2025,0,
454,11/02/2025,Internal,Irawan,Perbaikan kabel rol produksi 2 pcs,Produksi,Instalasi Listrik,Gudang Cibeureum,,11/02/2025,0,
447,11/02/2025,Internal,Irawan,Perbaikan mesin F yg DKASSET1034 pulinya kendor,Produksi,Mesin,Gudang Cibeureum,,11/02/2025,0,
452,11/02/2025,Internal,Irawan,Lanjut perbaikan puli baudnya patah dimesin D DKASSET 1035,Produksi,Mesin,Gudang Cibeureum,,11/02/2025,0,
448,11/02/2025,Internal,Iwan,Pengukuran plat bordes utk depan pintu ciler,Produksi,Infrastruktur,Head Office,,11/02/2025,0,
449,11/02/2025,Internal,Iwan,pemasangan tirai,Produksi,Infrastruktur,Head Office,,11/02/2025,0,
450,11/02/2025,Internal,Iyus,pemasangan kertas box,Produksi,Infrastruktur,Tamansari persada,,11/02/2025,0,
451,11/02/2025,Internal,Iyus,pengecetan ruaang dirops,Produksi,Infrastruktur,Tamansari persada,,11/02/2025,0,
461,12/02/2025,Internal,Irawan,Pengencangan mesin dan girblok,Produksi,Mesin,Gudang Cibeureum,,12/02/2025,0,
463,12/02/2025,Internal,Irawan,pembersihan ac,Produksi,Perbaikan AC,Head Office,,12/02/2025,0,
456,12/02/2025,Internal,Iwan,perbaikan mesin E tepung,Produksi,Mesin,Gudang Cibeureum,,12/02/2025,0,
458,12/02/2025,Internal,Iwan,Pengelasan dudukan mesin dinamo yg goyang di akibatkan tidak adanya baut kuncian mesin menyebabkan seringnya merusak puli dan menjadu aus,Produksi,Mesin,Gudang Cibeureum,,12/02/2025,0,
460,12/02/2025,Internal,Iwan,Perbaikan mesin tepung A,Produksi,Mesin,Gudang Cibeureum,,12/02/2025,0,
462,12/02/2025,Internal,Iwan,perbaikan mesin steam ,Produksi,Mesin,Head Office,,12/02/2025,0,
457,12/02/2025,Internal,Iyus,"perbaikan roda kursi yang patah, di ruang div. Stokis sebelum dan sesudah penggantian/selesai",stokis,Infrastruktur,Tamansari persada,,12/02/2025,0,
459,12/02/2025,Internal,Iyus,"Perbaikan kursi di ruang div, stokis selesai",stokis,Infrastruktur,Tamansari persada,,12/02/2025,0,
464,12/02/2025,Internal,Iyus,pembuatan skat ,Humas & Service,Infrastruktur,Tamansari persada,,12/02/2025,0,
468,13/02/2025,Internal,Irawan,perbaikan pintu blaz,Produksi,Infrastruktur,Head Office,,13/02/2025,0,
465,13/02/2025,Internal,Irawan,pengecekan ac,Produksi,Perbaikan AC,Head Office,,13/02/2025,0,
466,13/02/2025,Internal,Iwan,pemasangan lampu ,Produksi,Infrastruktur,Head Office,,13/02/2025,0,
470,13/02/2025,Internal,Iwan,pemasangan lampu 4 tiitk ,Produksi,Infrastruktur,Head Office,,13/02/2025,0,
467,13/02/2025,Internal,Iyus,pemasangan kaca ,Humas & Service,Infrastruktur,Tamansari persada,,13/02/2025,0,
469,13/02/2025,Internal,Iyus,perbaikan pintu blaz,Humas & Service,Infrastruktur,Tamansari persada,,13/02/2025,0,
471,13/02/2025,Internal,Iyus,pemasangan pintu ,Direktur,Infrastruktur,Tamansari persada,,13/02/2025,0,
472,13/02/2025,Internal,Iyus,pemasangan replektor di ruang finance,Finance,Infrastruktur,Tamansari persada,,13/02/2025,0,
474,14/02/2025,Internal,Irawan,pemasangan pully ,Produksi,Elektronik,Head Office,,14/02/2025,0,
475,14/02/2025,Internal,Irawan,perbaikan di stopkontak ,Produksi,Instalasi Listrik,Head Office,,14/02/2025,0,
473,14/02/2025,Internal,Irawan,pemasangan pully ,Produksi,Mesin,Gudang Cibeureum,,14/02/2025,0,
476,14/02/2025,Internal,Iyus,pengecekan saluran air,Humas & Service,Infrastruktur,Tamansari persada,,14/02/2025,0,
477,14/02/2025,Internal,Iyus,pengecekan saluran air,Humas & Service,Infrastruktur,Tamansari persada,,14/02/2025,0,
478,14/02/2025,Internal,Iyus,perbaikan ac,Humas & Service,Perbaikan AC,Tamansari persada,,14/02/2025,0,
479,15/02/2025,Internal,Iwan,pengawasan perbaikan dan pembersihan ac diops,Direktur,Perbaikan AC,Tamansari persada,,15/02/2025,0,
480,15/02/2025,Internal,Iwan,pengawasan perbaikan dan pembersihan ac SM ,Humas & Service,Perbaikan AC,Tamansari persada,,15/02/2025,0,
481,15/02/2025,Internal,Iwan,pengawasan perbaikan dan pembersihan ac interview,HRD,Perbaikan AC,Tamansari persada,,15/02/2025,0,
482,15/02/2025,Internal,Iwan,pengawasan perbaikan dan pembersihan ac RND,Promosi & Event,Perbaikan AC,Tamansari persada,,15/02/2025,0,
483,15/02/2025,Internal,Iwan,pengawasan perbaikan dan pembersihan ac it,Humas & Service,Perbaikan AC,Tamansari persada,,15/02/2025,0,
484,15/02/2025,Internal,Iwan,pengawasan perbaikan dan pembersihan ac asset,Asset,Perbaikan AC,Tamansari persada,,15/02/2025,0,
485,15/02/2025,Internal,Iwan,pengawasan perbaikan dan pembersihan ac HRD,HRD,Perbaikan AC,Tamansari persada,,15/02/2025,0,
486,15/02/2025,Internal,Iwan,pengawasan perbaikan dan pembersihan ac R meeting,Humas & Service,Perbaikan AC,Tamansari persada,,15/02/2025,0,
487,15/02/2025,Internal,Iwan,pengawasan perbaikan dan pembersihan ac stokis,Marketing,Perbaikan AC,Tamansari persada,,15/02/2025,0,
488,16/02/2025,Internal,Irawan,pengecekan AC dan preon seluruh ruangan BRP ,Finance,Perbaikan AC,Kantor Finance BRP,,16/02/2025,,
489,16/02/2025,Internal,Irawan,pengecekan AC dan preon di ruang HRD,HRD,Perbaikan AC,Tamansari persada,,16/02/2025,,
490,16/02/2025,Internal,Irawan,pengecekan AC dan preon di ruang IT,Humas & Service,Perbaikan AC,Tamansari persada,,16/02/2025,,
491,16/02/2025,Internal,Irawan,pengecekan AC dan preon di ruang admin ,Humas & Service,Perbaikan AC,Tamansari persada,,16/02/2025,,
492,16/02/2025,Internal,Iyus,pemasangan pully ,Produksi,Mesin,Gudang Cibeureum,,16/02/2025,,
493,16/02/2025,Internal,Iyus,pencucian AC  seluruh ruangan BRP ,Finance,Perbaikan AC,Kantor Finance BRP,,16/02/2025,,
494,17/02/2025,Internal,Iwan,pemasangan kipas angin pos satpam ,Produksi,Elektronik,Head Office,,17/02/2025,0,
495,17/02/2025,Internal,Iwan,emasangan lampu tembak area pintu blas dan cs,Produksi,Instalasi Listrik,Head Office,,17/02/2025,0,
496,17/02/2025,Internal,Iwan,pemasangan selang ,Produksi,Mesin,Head Office,,17/02/2025,0,
497,17/02/2025,Internal,Iyus,pembersihan aliran air di tsp,GENERAL AFFAIR,Infrastruktur,Gudang Cibeureum,,17/02/2025,0,
498,17/02/2025,Internal,Iyus,pembersihan kamar mandi tengah yang mampet ,Humas & Service,Infrastruktur,Gudang Cibeureum,,17/02/2025,0,
499,17/02/2025,Internal,Iyus,perbaikan pintu kamar mandi dirops,Direktur,Infrastruktur,Gudang Cibeureum,,17/02/2025,0,
500,17/02/2025,External,Vendor,pembuatan rangka skat ,Logistik,Infrastruktur,gudang bandung ,,17/02/2025,0,
501,18/02/2025,Internal,Irawan, perbaikan kabel roll produksi,Logistik,Instalasi Listrik,Gudang Cibeureum,,18/02/2025,,
502,18/02/2025,Internal,Irawan,Pengisian solar kegenset dicibereum,Logistik,Mesin,Gudang Cibeureum,,18/02/2025,,
503,18/02/2025,Internal,Iwan,mesin jahit d ciberem ,Logistik,Elektronik,Tamansari persada,,18/02/2025,0,
504,18/02/2025,Internal,Iwan,menyalakan genset cibereum,Logistik,Infrastruktur,Gudang Cibeureum,,18/02/2025,0,
505,18/02/2025,Internal,Iwan,Tumbler tidak bisa memutar ,Produksi,Mesin,Produksi Ayam,,18/02/2025,,
506,18/02/2025,Internal,Iyus,perbaikan kursi di ruang admin,Planner,Infrastruktur,Tamansari persada,,18/02/2025,0,
507,18/02/2025,Internal,Iyus, pengecekan bocoran di ruang kamar mandi dir'op,Direktur,Infrastruktur,Tamansari persada,,19/02/2025,,
508,18/02/2025,Internal,Iyus,perbaikan terminal stopkontak di ruang humas yang terbakar,Humas & Service,Instalasi Listrik,Tamansari persada,,18/02/2025,0,
509,18/02/2025,Internal,Iyus,perbaikan stopkontak terminal di pos scurity TSP,Humas & Service,Instalasi Listrik,Tamansari persada,,18/02/2025,,
510,18/02/2025,External,Vendor,jalur 3 phase trouble,Logistik,Instalasi Listrik,Gudang Cibeureum,,18/02/2025,1,
511,18/02/2025,External,Vendor,Perbaikan listrik yg mati ditepung cibereum oleh pihak PLn,Logistik,Instalasi Listrik,Gudang Cibeureum,,18/02/2025,,
512,19/02/2025,Internal,Irawan, perbaikan mesin jahit karung diproduksi diho,Produksi,Elektronik,Produksi Ayam,,19/02/2025,,
513,19/02/2025,Internal,Irawan,Perbaikan mesin jahit karung diproduksi tepung,Logistik,Elektronik,Gudang Cibeureum,,19/02/2025,,
514,19/02/2025,Internal,Irawan,Perbaikan mesin yg F DKASSET 1034,Logistik,Mesin,Gudang Cibeureum,,19/02/2025,,
515,19/02/2025,Internal,Iwan,Pengelasan penggantian roda meja marinasi,POULTRY,Infrastruktur,Produksi Ayam,,19/02/2025,,
516,19/02/2025,Internal,Iwan,Perbaikan setim,Logistik,Mesin,Produksi Ayam,,19/02/2025,,
517,19/02/2025,Internal,Iyus,pengencangan baut roda  troli team event,PROMO & EVENT,Infrastruktur,Tamansari persada,,19/02/2025,,
518,19/02/2025,Internal,Iyus,Proses penambalan bocoran di ruang kamar mandi dir'op,DIREKTUR,Infrastruktur,Tamansari persada,,19/02/2025,,
519,19/02/2025,Internal,Iyus, pengukuran instalasi kabel yang akan di pasang  bawah meja ruang meeting BRP lantai 2,Finance,Instalasi Listrik,Kantor Finance BRP,,19/02/2025,,
520,20/02/2025,Internal,Irawan,Pemasangan cctv dicibereum,WHEAT,Elektronik,Gudang Cibeureum,,20/02/2025,,
521,20/02/2025,Internal,Irawan,Perbaikan pipa dicibereum yg bocor,WHEAT,Infrastruktur,Gudang Cibeureum,,20/02/2025,,
522,20/02/2025,Internal,Irawan,Pengisian solat buat genset dicibereum,WHEAT,Mesin,Gudang Cibeureum,,20/02/2025,,
523,20/02/2025,Internal,Iwan,Pantau pemasangan portal,GENERAL AFFAIR,Infrastruktur,Head Office,,,,
524,20/02/2025,Internal,Iyus,membuka/pembongkaran kunci etalase piagam yang sudah dool/selek,KEMITRAAN,Infrastruktur,Tamansari persada,,20/02/2025,,
525,20/02/2025,Internal,Iyus,penggantian mesin akuariumdi TSP,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,20/02/2025,,
526,20/02/2025,Internal,Iyus,proses penggantian lampu di depan office BRP 1 unit,FINANCE,Infrastruktur,Kantor Finance BRP,,20/02/2025,,
527,20/02/2025,Internal,Iyus,penggantian lampu di ruang tengah office TSP,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,20/02/2025,,
528,21/02/2025,Internal,Iwan,pembuatan skat ruang bumbu,WHEAT,Infrastruktur,Head Office,,21/02/2025,,
529,21/02/2025,Internal,Iyus,perbaikan plafon kamar mandi dirops ,DIREKTUR,Infrastruktur,Tamansari persada,,21/02/2025,,
530,21/02/2025,Internal,Iyus,perbaikan wastafel ,KEMITRAAN,Infrastruktur,Tamansari persada,,21/02/2025,,
531,21/02/2025,Internal,Iyus,pengecetan portal ,GENERAL AFFAIR,Infrastruktur,Head Office,,22/02/2025,,
532,22/02/2025,Internal,Iwan,perbaikan mesin ,POULTRY,Infrastruktur,Head Office,,22/02/2025,,
533,22/02/2025,Internal,Iyus,pelanjutan pemasangan partici ,POULTRY,Infrastruktur,Head Office,,22/02/2025,,
534,23/02/2025,Internal,Irawan,penambalan lantai di depan cs ,POULTRY,Infrastruktur,Head Office,,23/02/2025,,
535,24/02/2025,Internal,Irawan,pemasangan gpsyum pada skat ,POULTRY,Infrastruktur,Head Office,,24/02/2025,,
536,24/02/2025,Internal,Iwan,pemasangan gpsyum pada skat ,POULTRY,Infrastruktur,Head Office,,24/02/2025,,
537,25/02/2025,Internal,Iwan,pengawasan pemasangan portal ,POULTRY,Infrastruktur,Head Office,,25/02/2025,,
538,25/02/2025,Internal,Irawan,perbaikan mesin jahit tepung ,POULTRY,Mesin,Gudang Cibeureum,,25/02/2025,,
539,25/02/2025,Internal,Iyus,perapihan ruangan aset ,POULTRY,Infrastruktur,Tamansari persada,,25/02/2025,,
540,25/02/2025,Internal,Irawan,pemasangan kipas angin ,POULTRY,Infrastruktur,Gudang Cibeureum,,25/02/2025,,
541,25/02/2025,Internal,Iwan,pembobokan RND,POULTRY,Infrastruktur,Tamansari persada,,25/02/2025,,
542,26/02/2025,Internal,Iwan,perbaikan gerbang ,POULTRY,Infrastruktur,Gudang Cibeureum,,26/02/2025,,
543,26/02/2025,Internal,Iyus,pemasangan stiker kaca ,KEMITRAAN,Infrastruktur,kemitraan,,26/02/2025,,
544,26/02/2025,Internal,Irawan,pengelasan meja marinasi ,POULTRY,Infrastruktur,Gudang Cibeureum,,26/02/2025,,
545,26/02/2025,Internal,Vendor,perbaikan yang mampet ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,26/02/2025,,
546,27/02/2025,Internal,Iyus,perbaikan wastafel ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,27/02/2025,,
547,27/02/2025,Internal,Iyus,perbaikan cctv ,DIREKTUR,Elektronik,Tamansari persada,,27/02/2025,,
548,27/02/2025,Internal,Iyus,pembutaan skat ruang admin ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,27/02/2025,,
549,27/02/2025,Internal,Irawan,pembersihan saluran air ,POULTRY,Infrastruktur,Gudang Cibeureum,,27/02/2025,,
550,27/02/2025,Internal,Irawan,perbaikan cctv ,POULTRY,Infrastruktur,Gudang Cibeureum,,27/02/2025,,
551,28/02/2025,Internal,Irawan,perbaikan cctv bersama tim IT,POULTRY,Infrastruktur,Gudang Cibeureum,,28/02/2025,,
552,28/02/2025,Internal,Iyus,pemasangan ppan tulis ,POULTRY,Infrastruktur,Gudang Cibeureum,,28/02/2025,,
553,28/02/2025,Internal,Iyus,pemasangan toilet ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,28/02/2025,,
554,28/02/2025,Internal,Iwan,pembuangan puing ,GENERAL AFFAIR,Infrastruktur,Gudang Cibeureum,,28/02/2025,,
556,01/03/2025,Internal,Irawan,pergantian MCB ,POULTRY,Instalasi Listrik,Gudang Cibeureum,,01/03/2025,,
555,01/03/2025,Internal,Irawan,perbaikan mesin ,POULTRY,Mesin,Gudang Cibeureum,,01/03/2025,,
557,02/03/2025,Internal,Iyus,pemasangan toilet ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,02/03/2025,,
558,02/03/2025,Internal,Iwan,Perbaikan mesin ,POULTRY,Mesin,Tamansari persada,,02/03/2025,,
561,03/03/2025,Internal,Irawan,perbaikan dudukan benang mesin jahit yang patah,POULTRY,Elektronik,Produksi Bandung,,,,
559,03/03/2025,Internal,Iyus,kencangkan mur kursi aset karena kendor dan mudah goyang khawatir copot atau patah,ASET,Infrastruktur,Tamansari persada,,03/03/2025,,
560,03/03/2025,Internal,Iwan,Penutupan lubang masuk tikus area pintu ciler,POULTRY,Infrastruktur,Produksi Ayam,,03/03/2025,,
563,03/03/2025,Internal,Iyus,pembuatan stok kontak ruang meeting di BRP,FINANCE,Instalasi Listrik,Kantor Finance BRP,,03/03/2025,,
562,03/03/2025,Internal,Irawan,Menganti oli stim diho,POULTRY,Mesin,Head Office,,,,
564,04/03/2025,Internal,Iyus,pengangkatan puing dan pengecoran lantai di ruang dapur RND,BUSDEV & RND,Infrastruktur,Tamansari persada,,04/03/2025,,
566,04/03/2025,Internal,Iwan,Memperbaiki troli yg patah,POULTRY,Infrastruktur,Head Office,,04/03/2025,,
568,04/03/2025,Internal,Iyus,pengukuran balkon lantai 2 yang akan di buat ruang arsip di office finance,FINANCE,Infrastruktur,Kantor Finance BRP,,04/03/2025,,
570,04/03/2025,Internal,Iyus,pemasangan appar di ruang tengah office TSP,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,04/03/2025,,
571,04/03/2025,Internal,Iyus,pemasangan appar di ruang dir'op,DIREKTUR,Infrastruktur,Tamansari persada,,04/03/2025,,
572,04/03/2025,Internal,Iyus,perbaikan kursi di ruang media,MEDIA,Infrastruktur,Tamansari persada,,04/03/2025,,
565,04/03/2025,Internal,Iwan,memperbaiki mesin steam,POULTRY,Mesin,Head Office,,04/03/2025,,
567,04/03/2025,Internal,Irawan,Perbaikan puli dimesin E DKASSET1032,WHEAT,Mesin,Gudang Cibeureum,,04/03/2025,,
574,05/03/2025,Internal,Irawan,memperbaiki jembtan besi d gudang cibereum,WHEAT,Infrastruktur,Gudang Cibeureum,,05/03/2025,,
640,05/03/2025,Internal,Iwan,lampu di depan office kantor HO mati.,POULTRY,Mesin,Head Office,,19/03/2025,,
576,06/03/2025,Internal,Irawan,Pemasangan bender himbauan digudang cibereum seblm dan sesudahh,WHEAT,Infrastruktur,Gudang Cibeureum,,06/03/2025,,
577,06/03/2025,Internal,Iyus,"penggantian benner ,lantai dua depan kemitraan",KEMITRAAN,Infrastruktur,kemitraan,,06/03/2025,,
579,06/03/2025,Internal,Iyus,pengukuran tembok dinding  di ruang dir'op,DIREKTUR,Infrastruktur,Tamansari persada,,06/03/2025,,
578,06/03/2025,Internal,Irawan,Perbaikan mesin yg D DKASSET 1035,POULTRY,Mesin,Gudang Cibeureum,,06/03/2025,,
580,06/03/2025,Internal,Irawan, perbaikan puli yg lepas dimesin E DKASSET 1032,POULTRY,Mesin,Gudang Cibeureum,,06/03/2025,,
585,07/03/2025,Internal,Iwan,timbangan besar merk sojikyo sudah selesai di perbaiki dan di elas kembali oleh teknisi,POULTRY,Elektronik,Kantor Finance BRP,,07/03/2025,,
582,07/03/2025,Internal,Iyus,melanjutkan pembuatan Ruang admin,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,07/03/2025,,
584,07/03/2025,Internal,Iyus,proses pemasangan GRC ruang admin,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,07/03/2025,,
583,07/03/2025,Internal,Iwan,Pemasangan hendel pintu ciler,POULTRY,Mesin,,,07/03/2025,,
586,08/03/2025,Internal,Iyus,perbaikan grc di ruang admin ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,08/03/2025,,
587,08/03/2025,Internal,Iwan,pemasangan lampu ,POULTRY,Instalasi Listrik,Gudang Cibeureum,,09/03/2025,,
588,09/03/2025,Internal,Irawan,pengelasan gerbang ,POULTRY,Infrastruktur,Gudang Cibeureum,,09/03/2025,,
589,10/03/2025,Internal,Irawan,Bismilah perbaikan camstater dimesin yg 100 kilo yg G DKASSET 1031 seblm dan sesudah udah bisa dipake lagi,POULTRY,Mesin,Gudang Cibeureum,,10/03/2025,,
597,11/03/2025,Internal,Iyus,pembuatan skat ruang admin ,POULTRY,Infrastruktur,Tamansari persada,,12/03/2025,,
598,11/03/2025,Internal,Irawan,pomotongan drigen ,POULTRY,Infrastruktur,Head Office,,12/03/2025,,
600,11/03/2025,Internal,Iyus,pengukuran ruang stokis ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,12/03/2025,,
591,11/03/2025,Internal,Iwan,Perbaikan jalur listrik gudang 2vsekesai,POULTRY,Instalasi Listrik,Gudang Cibeureum,,11/03/2025,,
592,11/03/2025,Internal,Iwan,Perbaikan listrik  ,POULTRY,Instalasi Listrik,Gudang Cibeureum,,11/03/2025,,
590,11/03/2025,Internal,Irawan,Perbaikan mesin jahit 2 unit dicibereum,POULTRY,Mesin,Gudang Cibeureum,,11/03/2025,,
593,11/03/2025,Internal,Irawan,perbaikan mesin steam ,POULTRY,Mesin,Head Office,,12/03/2025,,
594,11/03/2025,Internal,Iwan,perbaikan mesin steam ,POULTRY,Mesin,Head Office,,12/03/2025,,
595,11/03/2025,Internal,Iwan,perbaikan troli ,POULTRY,Mesin,Head Office,,12/03/2025,,
596,11/03/2025,Internal,Irawan,perbaikan troli ,POULTRY,Mesin,Head Office,,12/03/2025,,
599,11/03/2025,Internal,Irawan,perbaikan ac,POULTRY,Perbaikan AC,Head Office,,12/03/2025,,
601,12/03/2025,External,Vendor,perbaikan yang bocor  dikantor tsp ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,12/03/2025,,
